source,target,ml_importance,source_name,target_name
M&M.NS,HCLTECH.NS,0.022573082770045765,Mahindra & Mahindra,HCL Tech
^NSEBANK,SBIN.NS,0.02256879930539421,Bank Nifty,SBI
WIPRO.NS,DLF.NS,0.022560498300317092,Wipro,DLF
M&M.NS,CL=F,0.022475858817838205,Mahindra & Mahindra,Crude Oil
DLF.NS,GC=F,0.022321811848732477,DLF,Gold
DRREDDY.NS,BAJAJFINSV.NS,0.022153583182239773,Dr Reddy's,Bajaj Finserv
INR=X,ONGC.NS,0.022112500735327906,USD/INR,ONGC
BAJAJFINSV.NS,DLF.NS,0.02208053612477085,Bajaj Finserv,DLF
GC=F,SBIN.NS,0.022071260203441776,Gold,SBI
HDFCBANK.NS,^NSEI,0.021970915092411003,HDFC Bank,NIFTY 50
SBIN.NS,HDFCBANK.NS,0.02186207069224257,SBI,HDFC Bank
ICICIBANK.NS,INR=X,0.021662822439389117,ICICI Bank,USD/INR
M&M.NS,TMPV.NS,0.02163724515029463,Mahindra & Mahindra,Tata Motors Passenger Vehicles
HCLTECH.NS,ONGC.NS,0.02161673029858697,HCL Tech,ONGC
WIPRO.NS,M&M.NS,0.021600493751556843,Wipro,Mahindra & Mahindra
^NSEBANK,RELIANCE.NS,0.021581049597679494,Bank Nifty,Reliance
BAJAJFINSV.NS,^NSEI,0.021570791590907867,Bajaj Finserv,NIFTY 50
TCS.NS,SUNPHARMA.NS,0.02154771797976868,TCS,Sun Pharma
^NSEI,GC=F,0.02136501364403928,NIFTY 50,Gold
WIPRO.NS,BAJAJFINSV.NS,0.021300752661184686,Wipro,Bajaj Finserv
INR=X,SBIN.NS,0.02092012679629115,USD/INR,SBI
INFY.NS,^NSEI,0.02088890712934962,Infosys,NIFTY 50
^NSEBANK,AXISBANK.NS,0.020850126707237803,Bank Nifty,Axis Bank
GC=F,BAJFINANCE.NS,0.02083949463973104,Gold,Bajaj Finance
